,qtype,Question,Answer,Disease
1148,outlook,What is the outlook for Iniencephaly ?,The prognosis for infants with iniencephaly is extremely poor. Newborns seldom survive much past childbirth. The distortions of the babys body also pose a danger to the mother's life during delivery.,iniencephaly
1149,research,what research (or clinical trials) is being done for Iniencephaly ?,The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) conduct research related to iniencephaly in laboratories at the NIH and also support additional research through grants to major medical institutions across the country. Much of this research explores the complex mechanisms of neural tube development. The knowledge gained from these fundamental studies will provide a foundation for developing ways to prevent iniencephaly and the other neural tube defects.,iniencephaly
1223,treatment,What are the treatments for Neurodegeneration with Brain Iron Accumulation ?,"There is no cure for NBIA, nor is there a standard course of treatment. Treatment is symptomatic and supportive, and may include physical or occupational therapy, exercise physiology, and/or speech pathology. Many medications are available to treat the primary symptoms of dystonia and spasticity, including oral medications, intrathecal baclofen pump (in which a small pump is implanted under the skin and is programmed to deliver a specific amount of medication on a regular basis), deep brain stimulation, and botulinum toxin injection.",neurodegeneration with brain iron accumulation
1224,outlook,What is the outlook for Neurodegeneration with Brain Iron Accumulation ?,"NBIA is a progressive condition. Most individuals experience periods of rapid decline lasting weeks to months, with relatively stable periods in between. The rate of progression correlates with the age at onset, meaning that children with early symptoms tend to fare more poorly. For those with early onset, dystonia and spasticity can eventually limit the ability to walk, usually leading to use of a wheelchair by the midteens. Life expectancy is variable, although premature death does occur in NBIA. Premature death usually occurs due to secondary complications such as impaired swallowing or confinement to a bed or wheelchair, which can lead to poor nutrition or aspiration pneumonia. With improved medical care, however, a greater number of affected individuals reach adulthood. For those with atypical, late-onset NBIA, many are diagnosed as adults and live well into adulthood.",neurodegeneration with brain iron accumulation
1225,research,what research (or clinical trials) is being done for Neurodegeneration with Brain Iron Accumulation ?,"The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge about the brain and nervous system, and to use that knowledge to reduce the burden of neurological disease. NINDS-funded researchers are developing a mouse model of an NBIA disorder to gain insight into the causes of the disease and accelerate ongoing efforts to identify therapeutics to treat it..",neurodegeneration with brain iron accumulation
1243,treatment,What are the treatments for Transmissible Spongiform Encephalopathies ?,TSEs tend to progress rapidly and usually culminate in death over the course of a few months to a few years.,transmissible spongiform encephalopathies
1244,outlook,What is the outlook for Transmissible Spongiform Encephalopathies ?,There is currently no treatment that can halt progression of any of the TSEs. Treatment is aimed at alleviating symptoms and making the patient as comfortable as possible. A clinical trial of a potential therapy for CJD is expected to begin soon at the University of California at San Francisco.,transmissible spongiform encephalopathies
1245,research,what research (or clinical trials) is being done for Transmissible Spongiform Encephalopathies ?,"The NINDS conducts and supports research on TSEs. This research is aimed at determining how abnormal prion proteins lead to disease, at finding better tests for diagnosing CJD and other disorders, and ultimately at finding ways to treat TSEs.",transmissible spongiform encephalopathies
1255,treatment,What are the treatments for Lissencephaly ?,"There is no cure for lissencephaly, but children can show progress in their development over time. Supportive care may be needed to help with comfort, feeding, and nursing needs. Seizures may be particularly problematic but anticonvulsant medications can help. Progressive hydrocephalus (an excessive accumulation of cerebrospinal fluid in the brain) is very rare, seen only in the subtype of Walker-Warburg syndrome, but may require shunting. If feeding becomes difficult, a gastrostomy tube may be considered.",lissencephaly
1256,outlook,What is the outlook for Lissencephaly ?,"The prognosis for children with lissencephaly depends on the degree of brain malformation. Many will die before the age of 10 years. The cause of death is usually aspiration of food or fluids, respiratory disease, or severe seizures. Some will survive, but show no significant development -- usually not beyond a 3- to 5-month-old level. Others may have near-normal development and intelligence. Because of this range, it is important to seek the opinion of specialists in lissencephaly and support from family groups with connection to these specialists.",lissencephaly
1257,research,what research (or clinical trials) is being done for Lissencephaly ?,"The NINDS conducts and supports a wide range of studies that explore the complex systems of normal brain development, including neuronal migration. Recent studies have identified genes that are responsible for lissencephaly. The knowledge gained from these studies provides the foundation for developing treatments and preventive measures for neuronal migration disorders.",lissencephaly
1267,treatment,What are the treatments for Porencephaly ?,"Treatment may include physical therapy, medication for seizures, and the placement of a shunt in the brain to remove excess fluid in the brain.",porencephaly
1268,outlook,What is the outlook for Porencephaly ?,"The prognosis for children with porencephaly varies according to the location and extent of the cysts or cavities. Some children with this disorder develop only minor neurological problems and have normal intelligence, while others may be severely disabled and die before their second decade of life.",porencephaly
1269,research,what research (or clinical trials) is being done for Porencephaly ?,The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) conduct research related to porencephaly in laboratories at the NIH and also support additional research through grants to major medical institutions across the country. Much of this research explores the complex mechanisms of normal brain development. The knowledge gained from these fundamental studies will provide a foundation for developing ways to prevent porecephaly and the other cephalic disorders.,porencephaly
1287,treatment,What are the treatments for Neuroaxonal dystrophy ?,"There is no cure for INAD and no treatment that can stop the progress of the disease. Treatment is symptomatic and supportive. Doctors can prescribe medications for pain relief and sedation. Physiotherapists and other physical therapists can teach parents and caregivers how to position and seat their child, and to exercise arms and legs to maintain comfort.",neuroaxonal dystrophy
1288,outlook,What is the outlook for Neuroaxonal dystrophy ?,"INAD is a progressive disease. Once symptoms begin, they will worsen over time. Generally, a babys development starts to slow down between the ages of 6 months to 3 years. The first symptoms may be slowing of motor and mental development, followed by loss or regression of previously acquired skills. Rapid, wobbly eye movements and squints may be the first symptoms, followed by floppiness in the body and legs (more than in the arms). For the first few years, a baby with INAD will be alert and responsive, despite being increasingly physically impaired. Eventually, because of deterioration in vision, speech, and mental skills, the child will lose touch with its surroundings. Death usually occurs between the ages of 5 to 10 years.",neuroaxonal dystrophy
1289,research,what research (or clinical trials) is being done for Neuroaxonal dystrophy ?,"Researchers continue to search for the defective gene that causes INAD in hopes of developing drugs that can stop the disease. The National Institute of Neurological Disorders and Stroke (NINDS) conducts research related to INAD in its laboratories at the National Institutes of Health (NIH), and also supports additional research through grants to major medical institutions across the country. Much of this research focuses on finding better ways to prevent, treat, and ultimately cure disorders such as INAD.",neuroaxonal dystrophy
5907,treatment,What are the treatments for isolated lissencephaly sequence ?,"These resources address the diagnosis or management of isolated lissencephaly sequence:  - Gene Review: Gene Review: DCX-Related Disorders  - Gene Review: Gene Review: LIS1-Associated Lissencephaly/Subcortical Band Heterotopia  - Gene Review: Gene Review: Tubulinopathies Overview  - Genetic Testing Registry: Lissencephaly 1  - Genetic Testing Registry: Lissencephaly 3  - Genetic Testing Registry: Lissencephaly, X-linked   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",isolated lissencephaly sequence
6697,treatment,What are the treatments for pantothenate kinase-associated neurodegeneration ?,"These resources address the diagnosis or management of pantothenate kinase-associated neurodegeneration:  - Gene Review: Gene Review: Pantothenate Kinase-Associated Neurodegeneration  - Genetic Testing Registry: Hypoprebetalipoproteinemia, acanthocytosis, retinitis pigmentosa, and pallidal degeneration  - MedlinePlus Encyclopedia: Hallervorden-Spatz Disease  - MedlinePlus Encyclopedia: MRI   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",pantothenate kinase-associated neurodegeneration
8817,treatment,What are the treatments for anencephaly ?,"These resources address the diagnosis or management of anencephaly:  - Children's Hospital of Philadelphia  - Genetic Testing Registry: Anencephalus  - Genetic Testing Registry: Neural tube defect  - Genetic Testing Registry: Neural tube defects, folate-sensitive   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",anencephaly
8887,treatment,What are the treatments for giant axonal neuropathy ?,These resources address the diagnosis or management of giant axonal neuropathy:  - Gene Review: Gene Review: Giant Axonal Neuropathy  - Genetic Testing Registry: Giant axonal neuropathy   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,giant axonal neuropathy
9232,treatment,What are the treatments for Lafora progressive myoclonus epilepsy ?,"These resources address the diagnosis or management of Lafora progressive myoclonus epilepsy:  - Gene Review: Gene Review: Progressive Myoclonus Epilepsy, Lafora Type  - Genetic Testing Registry: Lafora disease  - MedlinePlus Encyclopedia: Epilepsy  - MedlinePlus Encyclopedia:Generalized Tonic-Clonic Seizure   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",lafora progressive myoclonus epilepsy
9257,treatment,What are the treatments for infantile neuroaxonal dystrophy ?,These resources address the diagnosis or management of infantile neuroaxonal dystrophy:  - Gene Review: Gene Review: PLA2G6-Associated Neurodegeneration  - Genetic Testing Registry: Infantile neuroaxonal dystrophy   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,infantile neuroaxonal dystrophy
9462,treatment,What are the treatments for hereditary cerebral amyloid angiopathy ?,"These resources address the diagnosis or management of hereditary cerebral amyloid angiopathy:  - Genetic Testing Registry: Cerebral amyloid angiopathy, APP-related  - Genetic Testing Registry: Dementia familial British  - Genetic Testing Registry: Dementia, familial Danish  - Genetic Testing Registry: Hereditary cerebral amyloid angiopathy, Icelandic type  - Johns Hopkins Medicine: Intracerebral Hemorrhage  - MedlinePlus Encyclopedia: Cerebral Amyloid Angiopathy   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",hereditary cerebral amyloid angiopathy
10117,treatment,What are the treatments for mitochondrial neurogastrointestinal encephalopathy disease ?,These resources address the diagnosis or management of MNGIE disease:  - Gene Review: Gene Review: Mitochondrial Neurogastrointestinal Encephalopathy Disease  - Genetic Testing Registry: Myoneural gastrointestinal encephalopathy syndrome  - MedlinePlus Encyclopedia: Leukoencephalopathy (image)   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,mitochondrial neurogastrointestinal encephalopathy disease
10667,treatment,What are the treatments for congenital neuronal ceroid lipofuscinosis ?,"These resources address the diagnosis or management of congenital neuronal ceroid lipofuscinosis:  - Genetic Testing Registry: Neuronal ceroid lipofuscinosis, congenital   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",congenital neuronal ceroid lipofuscinosis
11111,treatment,What are the treatments for Pantothenate kinase-associated neurodegeneration ?,"How might pantothenate kinase-associated neurodegeneration (PKAN) be treated? Currently there is no cure for this condition. Treatment consists of medications and surgery to relieve symptoms. For many of the treatments that do improve symptoms, the period of benefit is limited. Baclofen and trihexyphenidyl remain the most effective drugs for the dystonia and spasticity associated with this condition. Botulinum toxin may be helpful for many affected individuals, especially in treating a limited body region. For example, injections in the facial muscles can greatly improve speech and eating abilities. Those with PKAN typically do not benefit from L-dopa. Deep brain stimulation (DBS) is also an option for relieving some symptoms; an international study of the effectiveness of DBS is currently underway. Recently, interest in chelating agents (agents that remove iron from the body) has also been revived, although the benefits have not yet been documented and systemic anemia remains a risk. A trial using deferriprone (a chelator) in PKAN is currently underway in Italy. Click on the link to learn more about this study.",pantothenate kinase-associated neurodegeneration
12381,treatment,What are the treatments for Hydranencephaly ?,"How might hydranencephaly be treated? Unfortunately, there is no definitive treatment for hydranencephaly. Management of the condition typically focuses on the specific signs and symptoms present in the affected individual and is mostly supportive. Hydrocephalus (the buildup of too much cerebral spinal fluid in the brain) may be treated with a shunt (a surgically implanted tube that helps to drain fluid from the brain).",hydranencephaly
14806,treatment,What are the treatments for Schizencephaly ?,"How might schizencephaly be treated? The best treatment options for people with schizencephaly depend on many factors, including the severity of the condition and the signs and symptoms present. For example, people with developmental delay (i.e. delayed motor milestones) or partial paralysis may be referred for physical therapy and/or occupational therapy. Medications are often prescribed to prevent seizures. In cases that are complicated by hydrocephalus, a surgically implanted tube, called a shunt, is often used to divert fluid to another area of the body where it can be absorbed.",schizencephaly
14910,treatment,What are the treatments for Progressive multifocal leukoencephalopathy ?,"How might progressive multifocal leukoencephalopathy (PML) be treated? Currently, the best available therapy is reversal of the immune-deficient state. This can sometimes be accomplished by alteration of chemotherapy or immunosuppression. In the case of HIV-associated PML, immediately beginning anti-retroviral therapy will benefit most individuals.",progressive multifocal leukoencephalopathy
